GlobalID,purpose,latitude,longitude
38ee3f9a-1e04-4d9d-b858-9281481e9461,Regular,-41.32527748805887,174.81533079843308
dcb02725-fbe0-4316-b962-824cac38a575,Regular,-41.325277350304084,174.81539353763856
45e78821-112a-46da-980a-a25d558ff572,Regular,-41.32527062151783,174.81554992818312
322a57b4-a771-406f-a790-8243b20c0c74,Regular,-41.32527300188164,174.81564213192752
f1b5b46f-64f4-41e4-94f5-3ca705852ee5,Regular,-41.325271062475515,174.81571103912114
91a839cd-07d2-4e0f-a61c-b3f80756cb1c,Regular,-41.325177709909106,174.81528111116765
5ee4294a-9c55-439e-8947-5063fc2126a7,Regular,-41.325173116655485,174.8153561626088
c1db6e47-c206-476a-b084-1a3ce8b21359,Regular,-41.32517110608111,174.8154295914447
5d1e1dad-9852-48b4-822b-9e019e8b7ab4,Regular,-41.32516776444497,174.8155063731156
42cda51e-1fc0-4793-ae1a-d7b9c5b65eca,Regular,-41.32516654308129,174.81558378001216
60dbf422-1f96-4d2d-99fe-24674e28fb3f,Regular,-41.325161479190264,174.81566164537068
8324b15b-7741-4b73-a2cd-953244679537,Regular,-41.325158420580884,174.81574747991212
5d342f42-e24d-4208-bf82-fd698380270d,Regular,-41.325155975010084,174.81582146060776
5f857584-9755-4746-ae7a-0ba79a67ab5c,Regular,-41.32515175374583,174.81589991450056
bd8db12d-04a1-4910-b817-f3d90a56af6d,Regular,-41.32526186642158,174.81586170823738
882f7ee6-94b1-420e-990c-d4531f826746,Regular,-41.32525744754931,174.8159257432355
40a208ef-c075-41f8-bf59-4259dc81afc3,Regular,-41.325252849495904,174.8160550600969
2934ed1d-e776-4f7e-a1b9-a04fb50a6caf,Regular,-41.32525098344887,174.8162002798657
a5b63f38-e27c-48b7-8dae-a0a8cb10c241,Regular,-41.32524719759304,174.8162781807743
6310628f-6ef3-4d30-be75-bba96f2e308a,Regular,-41.32514957787581,174.8159837948572
d71b9513-1ef1-4d19-b150-29e663e8c032,Regular,-41.3251455348412,174.81605094918152
08e5acd7-5b03-471a-a42d-03bdaa741450,Regular,-41.325143470344884,174.8161277662602
e51797ef-0976-4eb6-961e-35764850f01b,Regular,-41.32514110478097,174.81619666265826
72795e03-9ccc-4a38-94e3-4a2aa25c6198,Regular,-41.325243210110585,174.81636879410138
782a3a27-f3dc-4214-89e1-4e5cfb862373,Regular,-41.32524119890775,174.81644222176718
4d499608-2833-43de-b0d2-f2c12850c977,Regular,-41.3252390224832,174.8165800845188
05421144-9308-4329-9e26-83a44b662e4e,Regular,-41.325236788113244,174.81666763870658
ed416a52-c0f4-478f-9da9-49597b303b95,Regular,-41.3252345334926,174.8167834542087
cb04c284-9ab4-41d0-8425-8409095a368f,Regular,-41.325123167025055,174.81673909563327
b9eb1094-ffb6-4c46-a9ee-6e3929268a91,Regular,-41.32512113774929,174.81681365297877
140ddb63-36be-429a-8794-1584a559268e,Regular,-41.325116737937364,174.81695738970208
e67e3f81-9c11-4027-b12f-f44c9336e336,Regular,-41.32511009382125,174.81713526188753
9e3043f6-65b2-48bb-b940-85a3667f42c6,Regular,-41.32522748198297,174.8169062015809
61e0cc1b-c555-44bd-b028-267639e24a00,Regular,-41.32521967394088,174.8171038261166
e9913449-4222-497e-bb50-8bc61a4858c8,Regular,-41.32521693548876,174.81716932000197
9b1a199c-7971-48c7-8a8d-174949b75504,Regular,-41.32521571052604,174.81727385955406
36bbbbc6-c03b-4780-bd70-6c0564a7c32c,Regular,-41.32521219309501,174.81741564110297
d2e727c1-d35e-440e-a047-77e276f74a58,Regular,-41.32520152983247,174.8175781399094
04e1fc49-327c-49af-9d5a-de844540ae5a,Regular,-41.32510181991083,174.81728143353334
11fe2248-5934-42c8-a3b5-3d24c995a1f0,Regular,-41.32519866805455,174.81767839338946
bb86d329-b654-4b7f-a221-5cdaac4a88f3,Regular,-41.325193725110964,174.81777548118896
29f3cc69-82bd-4de0-912f-966341ea7729,Regular,-41.32519196032745,174.81786022130044
d7cc2e45-163e-41a4-91e2-3801d819d3a1,Regular,-41.325189707153505,174.8179489039868
00c38c77-94b1-41af-ab23-825e55d15011,Regular,-41.32509970186193,174.8174964551164
647ab3cc-f169-405f-a5b6-2ba8a405d131,Regular,-41.325094115203434,174.81755339102526
8ebfc201-8b15-46a1-a5c5-d286937ed997,Regular,-41.32508961183269,174.81770362474424
4f0b6a84-591e-4b12-a007-c135866e5335,Regular,-41.325088493503166,174.81780138387222
e8382358-a6fa-4505-9ea0-a259ddf4ab9d,Regular,-41.3250777780299,174.81818291856663
0509c540-48b1-41a5-a2bc-fe15c78392b2,Regular,-41.32507053849848,174.8182635489261
70f159a6-5b5c-4ada-b14a-d5dbca6e1c91,Regular,-41.32496655765692,174.81877645464715
bc71d5ae-fea8-4d6f-9f39-7fe0a69e244e,Regular,-41.324941953389455,174.81885038377538
47a3aa0e-f87e-4ed0-996a-7a0050349ecd,Regular,-41.32489214822865,174.8190089669472
a85725d0-beb2-4f55-a58f-16ba2fb9e549,Regular,-41.32482530566643,174.81922105663995
67c216d2-3bea-4a76-acfd-672cc70f8249,Regular,-41.32477740890557,174.81936669003713
6fc8466b-ffba-4f2c-972d-3e2f8acc1b53,Regular,-41.32470852633057,174.81959991995257
f94b6611-bcd5-4da6-9b29-0ec7ce702bef,Regular,-41.32468440099781,174.8196704708396
c8822649-5871-4ae4-8596-2afb96a4629d,Regular,-41.32475790202149,174.81984576765663
cb260882-fd30-430d-b9f1-6e2063419a96,Regular,-41.324776234445636,174.8197643150699
77cacb4c-905c-4b86-87c2-9a003bcf5340,Regular,-41.324798960222736,174.81967450727015
bc9b7ce0-eabf-4171-a959-44efd3447965,Regular,-41.324826600482375,174.81959727093377
0f441e28-ef50-4ec4-9140-2adf08972ae3,Regular,-41.32484604051956,174.8195265894897
22279e67-7464-4e0a-b959-b532fef46b8d,Regular,-41.324859613891725,174.8194766593593
67e01747-4a44-4071-a660-a32ffe7a3245,Regular,-41.32488593090795,174.81940221186218
1137d597-dccb-4235-a6d8-0097387a3783,Regular,-41.3249075590288,174.81932791821467
d08fa3eb-93b1-4fc4-84de-8cbf9a35598d,Regular,-41.32493118685383,174.8192618744253
0d8aa8ce-7a6c-4d5b-91ec-2242d430f6b8,Regular,-41.324950990900874,174.81919516023405
74bda075-e6ce-4397-9ffa-d36f930a3487,Regular,-41.32496991551555,174.81913011702625
4aaf7df3-b69e-46ec-afc8-2268aff014ef,Regular,-41.324991973808295,174.81905555078592
4e060784-ca99-44bf-836a-a0f9e92b178d,Regular,-41.325013481139784,174.81898888385336
0cb87d62-9af8-4b7d-98c7-3bb1c54c98da,Regular,-41.32503496967292,174.81892334668228
39b761eb-04ca-4fff-9dde-121c4e099e8a,Regular,-41.32504939448927,174.81887343996632
4af3f238-4f61-4cb0-999e-f9142bdf0831,Regular,-41.32506544231953,174.81882866485472
9f9b573e-b479-4b74-b3f1-d0341d0b3b65,Regular,-41.325083896215084,174.8187664353508
0eb1b5c0-160b-41e0-b5f4-ee3c3bde1a44,Regular,-41.325101866197734,174.8187078653252
f17ec5ec-c8e0-4d3d-830f-3442f6a052f9,Regular,-41.32512239660949,174.8186490844978
a6af6906-e2ee-4b51-8e6b-d8b0d0134f52,Regular,-41.3251399987277,174.81858683000337
df272138-1828-403d-b9ca-1b6d5b5eb684,Regular,-41.32515930421503,174.81852462284945
81223f25-4681-40f8-9820-dd7de3cad28d,Regular,-41.32516735992093,174.81844627577104
6597cd37-1f56-4850-8bb6-4df29b636ff8,Regular,-41.32453360154796,174.82082312165088
